PRODUTO           |KIT ID             |QTDE            |COD INTERNO
UFRA 4X950        |100-5-4            |          2,0000|        11043
UFRA 4X950        |100R1AT-4          |          0,9500|        11089
ULTRA 10X1800     |100-12-10          |          1,0000|        11025
ULTRA 10X1800     |100R2AT-10         |          1,8000|        11099
ULTRA 10X1800     |101-12-10          |          1,0000|        11139
ULTRA 10X2400     |100-12-10          |          1,0000|        11025
ULTRA 10X2400     |100R2AT-10         |          2,4000|        11099
ULTRA 10X2400     |101-12-10          |          1,0000|        11139
ULTRA 10X800      |100-12-10          |          1,0000|        11025
ULTRA 10X800      |100R2AT-10         |          0,8000|        11099
ULTRA 10X800      |101-12-10          |          1,0000|        11139
ULTRA 16X350      |100R1AT-16         |          0,3500|        11084
ULTRA 16X350      |101-16-16          |          2,0000|        11146
ULTRA 16X400      |100R1AT-16         |          0,4000|        11084
ULTRA 16X400      |101-16-16          |          2,0000|        11146
ULTRA 24X5000     |100R2AT-24         |          5,0000|        11103
ULTRA 24X5000     |101-24-24          |          2,0000|        11153
ULTRA 24X5000     |MP-44              |          5,0000|        21338
ULTRA 24X8000     |100R1AT-24         |          8,0000|        11086
ULTRA 24X8000     |101-24-24          |          2,0000|        11153
ULTRA 32X1600     |100-32-32          |          1,0000|        11039
ULTRA 32X1600     |100R1AT-32         |          1,6000|        11088
ULTRA 32X1600     |101-32-32          |          1,0000|        11154
ULTRA 32X1600     |2021-32-32         |          1,0000|        11982
ULTRA 32X8000     |100R1AT-32         |          8,0000|        11088
ULTRA 32X8000     |101-32-32          |          2,0000|        11154
ULTRA 4X1000      |100R6-4            |          1,0000|        11129
ULTRA 4X1000      |FF 1/8X1/4         |          1,0000|        17756
ULTRA 4X1000      |MF-7/16-4          |          1,0000|        21053
ULTRA 4X15000     |100R1AT-4          |         15,0000|        11089
ULTRA 4X15000     |KARCHER-4          |          1,0000|        20090
ULTRA 4X15000     |KARCHER-4 PINO     |          1,0000|        20094
ULTRA 4X1650      |101-4-4            |          1,0000|        11155
ULTRA 4X1650      |FF 1/8X1/4         |          1,0000|        17756
ULTRA 4X1650      |TBT-4              |          1,6500|        25758
ULTRAGAS 1000     |100-8-8            |          1,0000|        11054
ULTRAGAS 1000     |100R2AT-8          |          1,0000|        11108
ULTRAGAS 1000     |101-8-8            |          1,0000|        11164
ULTRAGAS 1000     |2021-8-8           |          1,0000|        11999
UNIMETAIS 1700    |100-12-12          |          1,0000|        11026
