BARRA           |NOME                                      |GRUPO  |UNIDADE     |ICMS       |ORIGEM    |COMPRA         |MARGEM     |VENDA          |EST MINIMO       |EST ATUAL        |KIT  |ATIVO  |COD INTERNO|NCM           |RED BASE   |OBS1                                                          |OBS2
0206CG 1/4X1/8  |COTOVELO MACHO 0206CG 1/4X1/8N            |      3|UN          |    18,0000|000       |           2,80|   100,0000|           5,60|          50,0000|         655,0000|N    |S      |    10197  |74122000      |     0,0000|                                                              |                                                              
0210CG 1/4X1/8  |TEE MACHO CENTRAL 0210CG 1/4X1/8          |      3|UN          |    18,0000|000       |           6,16|   100,0000|          12,32|           0,0000|          28,0000|N    |S      |    10211  |              |     0,0000|                                                              |                                                              
0401CF 1/2      |LUVA LATAO 0401CF 1/2                     |      3|UN          |    18,0000|000       |           0,39|   100,0000|           0,78|         500,0000|        2321,0000|N    |S      |    10233  |74122000      |     0,0000|                                                              |                                                              
0401CF 1/4      |LUVA LATAO 0401CF 1/4                     |      3|UN          |    18,0000|000       |           0,15|   100,0000|           0,30|         500,0000|        5916,5000|N    |S      |    10234  |74122000      |     0,0000|                                                              |                                                              
0401CF 1/8      |LUVA LATAO 0401CF 1/8                     |      3|UN          |    18,0000|000       |           0,10|   100,0000|           0,20|         300,0000|        2201,0000|N    |S      |    10235  |74122000      |     0,0000|                                                              |                                                              
0401CF 10MM     |LUVA LATAO 0401CF 10MM                    |      3|UN          |    18,0000|000       |           0,32|   100,0000|           0,64|         500,0000|         435,0000|N    |S      |    10236  |74122000      |     0,0000|                                                              |                                                              
0401CF 12MM     |LUVA LATAO 0401CF 12MM                    |      3|UN          |    18,0000|000       |           0,43|   100,0000|           0,86|         500,0000|        1131,0000|N    |S      |    10238  |74122000      |     0,0000|                                                              |                                                              
0401CF 3/16     |LUVA LATAO 0401CF 3/16                    |      3|UN          |    18,0000|000       |           0,16|   100,0000|           0,32|         500,0000|        1249,0000|N    |S      |    10240  |74122000      |     0,0000|                                                              |                                                              
0401CF 3/8      |LUVA LATAO 0401CF 3/8                     |      3|UN          |    18,0000|000       |           0,24|   100,0000|           0,48|         500,0000|       16034,0000|N    |S      |    10242  |74122000      |     0,0000|                                                              |                                                              
0401CF 4MM      |LUVA LATAO 0401CF 04MM                    |      3|UN          |    18,0000|000       |           0,13|   100,0000|           0,26|         500,0000|         107,0000|N    |S      |    10243  |74122000      |     0,0000|                                                              |                                                              
